precio,m2,antiguedad,salas,dormitorios,renta_zona,poblacion_zona
264617.1,261.11,6.62,8.0,4.0,46147.05,27161.13
523479.60000000003,261.93,6.91,8.0,4.0,70421.48,43183.93
346161.30000000005,256.12,5.5,7.0,6.0,62614.42,26888.58
449996.69999999995,249.04,7.07,7.0,3.0,66394.87,39741.08
332876.4,259.02,4.86,8.0,6.0,73946.85,35261.13
294053.1,210.75,7.3,6.0,3.0,69144.75,19030.62
397185.60000000003,240.48,6.24,7.0,2.0,77278.7,21725.95
498748.5,220.47,6.6,6.0,4.0,86754.2,43017.44
425346.0,250.48,6.38,7.0,6.0,74399.84,41084.66
164992.8,207.85,5.83,6.0,3.0,49408.2,26881.13
316431.30000000005,222.08,6.11,6.0,4.0,62279.79,35263.65
424694.39999999997,226.26,5.92,6.0,3.0,73078.2,54915.96
284636.4,252.5,4.79,7.0,6.0,72942.71,24377.91
347879.1,273.57,5.95,8.0,4.0,63819.62,27825.57
464139.89999999997,255.67,8.31,7.0,3.0,73265.45,21030.97
356006.69999999995,248.38,6.12,7.0,5.0,68488.13,18267.95
231633.59999999998,185.81,7.19,5.0,4.0,55193.86,32537.82
351819.0,189.49,6.31,5.0,3.0,77434.69,36252.34
333325.5,240.25,4.48,7.0,2.0,66158.88,37098.74
306834.30000000005,204.86,7.53,6.0,4.0,60502.91,33579.63
382342.5,252.68,5.64,7.0,4.0,60910.89,43347.8
364059.30000000005,170.33,6.39,5.0,4.0,73931.98,36543.07
423519.0,243.13,6.02,7.0,5.0,59539.95,58600.83
257605.80000000002,228.36,5.44,7.0,3.0,56547.51,37585.27
360288.6,234.44,5.48,7.0,3.0,65950.35,40110.85
456070.19999999995,210.48,6.68,6.0,4.0,74533.16,49481.57
408272.39999999997,245.26,7.12,7.0,6.0,66422.92,31019.32
408276.30000000005,220.75,5.42,6.0,4.0,74334.49,41640.44
343959.6,247.96,4.76,7.0,3.0,63538.35,43282.18
536729.7,239.87,7.39,7.0,3.0,83953.1,37283.36
255629.69999999998,229.75,5.12,7.0,3.0,57279.06,44023.79
223829.09999999998,243.54,5.69,7.0,3.0,56553.55,29682.41
460344.0,252.72,5.79,7.0,6.0,75795.58,33197.78
364682.69999999995,235.89,5.28,7.0,3.0,70848.79,40458.74
282478.19999999995,230.74,5.65,7.0,3.0,59787.4,32402.11
361379.4,281.61,4.01,8.0,4.0,64826.37,60286.04
479296.5,245.01,7.61,7.0,3.0,65925.85,34171.36
447603.60000000003,288.39,6.95,9.0,6.0,64419.25,39318.17
426364.80000000005,251.19,8.56,7.0,4.0,58544.46,30865.59
339756.9,234.03,4.73,7.0,4.0,68791.79,48423.32
330846.30000000005,211.79,4.18,6.0,4.0,82061.57,36271.41
556863.3,245.92,5.44,7.0,6.0,80659.53,52947.04
506399.69999999995,268.79,6.18,8.0,3.0,66668.09,47075.21
319026.9,242.04,5.68,7.0,4.0,64721.56,36115.82
353187.0,241.01,6.45,7.0,3.0,65199.99,28366.04
352042.19999999995,198.55,4.64,6.0,3.0,74579.99,42806.15
491178.0,167.91,7.88,5.0,3.0,76273.67,46974.58
371681.4,262.66,5.25,8.0,4.0,67561.94,35517.54
60569.399999999994,196.37,4.84,5.0,3.0,48904.98,32960.75
431851.80000000005,280.66,6.4,8.0,6.0,72145.97,28882.9
175682.7,207.18,4.44,6.0,3.0,70805.61,29268.83
388405.5,232.1,7.51,7.0,3.0,65383.34,35114.4
604455.3,238.41,6.6,7.0,3.0,95450.29,39388.52
552070.8,230.25,6.37,7.0,4.0,73698.7,51815.1
432426.60000000003,235.01,6.37,7.0,4.0,66263.91,49829.95
449592.30000000005,267.92,6.93,8.0,4.0,75394.76,22268.08
286424.1,222.4,6.51,6.0,2.0,65984.75,21867.48
337390.80000000005,214.06,6.98,6.0,2.0,66477.26,32458.99
350983.19999999995,248.1,5.35,7.0,3.0,69284.26,40282.72
334329.30000000005,212.94,5.54,6.0,2.0,70404.5,37127.93
535060.5,228.09,8.07,7.0,4.0,74218.49,46770.66
390879.9,244.85,6.47,7.0,3.0,63441.71,48061.75
372445.19999999995,234.92,6.89,7.0,4.0,57493.92,47039.22
286234.5,209.81,5.5,6.0,2.0,81543.78,9816.3
466596.0,258.84,5.47,8.0,3.0,78633.97,43728.8
121492.79999999999,165.33,4.87,4.0,2.0,52202.85,42165.81
321955.19999999995,217.69,5.56,6.0,2.0,67980.39,25909.08
426658.80000000005,221.65,5.48,6.0,2.0,78568.45,41016.65
102181.5,208.58,4.82,6.0,3.0,55472.65,15353.96
351288.0,265.53,5.97,8.0,6.0,67579.23,21762.95
282851.4,225.43,6.88,6.0,4.0,61456.15,30821.41
420484.19999999995,272.43,7.17,8.0,4.0,60815.39,31233.65
352651.19999999995,296.19,5.38,9.0,3.0,51217.18,47089.48
182638.2,200.33,4.86,6.0,2.0,63027.67,35991.72
284082.9,252.58,6.5,7.0,5.0,62484.86,26882.65
545970.3,246.95,7.01,7.0,6.0,73923.47,58745.31
438939.0,231.23,7.32,7.0,2.0,79737.61,28307.31
375717.30000000005,270.39,4.97,8.0,5.0,63890.47,43416.5
514333.5,265.72,7.19,8.0,5.0,67310.04,43310.61
387527.69999999995,250.53,4.1,7.0,3.0,73145.73,49463.38
542746.2,265.05,6.83,8.0,6.0,86924.36,28719.41
360161.69999999995,187.85,7.41,5.0,2.0,74384.11,17117.44
390079.5,270.39,6.62,8.0,5.0,67477.79,29763.93
299234.69999999995,231.95,4.32,7.0,4.0,71202.96,34207.4
645887.7,316.96,6.74,9.0,3.0,85845.32,46477.68
488995.19999999995,287.47,7.16,8.0,5.0,72138.87,35799.64
149273.7,174.66,4.49,5.0,3.0,44806.01,57390.89
267033.9,209.73,5.33,6.0,4.0,67504.18,37441.12
319405.80000000005,202.73,5.0,6.0,2.0,74706.1,39680.61
459037.19999999995,269.04,6.79,8.0,6.0,68898.35,39515.57
373874.1,202.43,8.14,6.0,4.0,58118.02,35598.39
372226.5,194.33,6.07,5.0,4.0,77643.28,35512.26
528220.5,235.75,8.07,7.0,4.0,67769.83,33254.6
418124.10000000003,249.2,5.53,7.0,6.0,74411.06,43537.5
351715.80000000005,300.51,4.1,9.0,4.0,73101.08,29497.97
145195.8,220.79,5.08,6.0,4.0,58708.42,15969.93
416559.0,248.52,7.08,7.0,3.0,63876.06,38052.88
516521.69999999995,285.65,6.39,8.0,6.0,68343.15,40653.87
382934.69999999995,249.03,5.99,7.0,6.0,73064.98,30699.34
348522.9,233.63,6.77,7.0,2.0,67367.27,32547.27
235922.40000000002,192.05,6.35,5.0,2.0,66547.18,16741.96
481476.30000000005,287.69,6.41,8.0,4.0,73313.55,37809.0
369044.69999999995,266.55,6.89,8.0,5.0,47681.36,50908.98
315493.5,233.18,6.45,7.0,4.0,67910.95,31379.78
424522.19999999995,267.25,6.14,8.0,5.0,69277.89,43717.91
313045.19999999995,203.04,5.4,6.0,3.0,67946.71,35197.94
463314.0,282.51,4.74,8.0,6.0,90975.11,44426.21
405640.80000000005,240.33,5.41,7.0,3.0,61885.55,48726.95
451718.10000000003,275.81,7.04,8.0,3.0,69401.85,29293.07
425089.80000000005,275.21,6.19,8.0,4.0,72969.12,31755.72
314016.6,236.15,5.51,7.0,4.0,75582.46,31946.3
281712.0,237.46,5.62,7.0,2.0,56241.23,32745.37
414909.30000000005,257.34,6.09,7.0,3.0,79412.84,17568.73
321750.9,233.0,4.57,7.0,3.0,79618.24,29636.51
340319.4,252.84,6.49,7.0,6.0,67019.07,24997.11
220448.40000000002,194.46,5.11,5.0,4.0,56063.48,39129.3
297567.6,241.46,5.78,7.0,4.0,57077.58,33393.92
317175.9,255.46,4.29,7.0,5.0,75954.82,34467.76
371167.5,248.11,7.13,7.0,4.0,52575.82,41828.58
432789.89999999997,278.89,6.14,8.0,4.0,63312.81,43230.35
563220.6000000001,265.35,6.45,8.0,4.0,82526.96,43947.68
418355.39999999997,252.26,6.64,7.0,6.0,73204.94,35090.5
286181.69999999995,190.11,5.71,5.0,3.0,56357.19,38062.0
365933.4,245.57,7.11,7.0,5.0,71316.62,21651.7
386197.5,299.22,4.98,9.0,3.0,75046.85,32468.03
521968.19999999995,210.98,6.97,6.0,2.0,84474.16,38677.82
364014.6,233.82,6.96,7.0,3.0,68162.68,31843.88
302243.69999999995,172.48,7.57,5.0,3.0,62784.33,35122.39
458626.80000000005,261.22,6.85,8.0,3.0,67009.82,39737.12
354738.0,234.02,6.77,7.0,2.0,67437.25,29356.22
442364.10000000003,266.22,6.85,8.0,3.0,65967.77,35799.96
323405.1,244.26,7.6,7.0,4.0,42816.31,47457.66
436014.60000000003,197.16,5.47,5.0,3.0,83347.67,48226.72
448503.89999999997,227.18,5.48,6.0,4.0,81699.88,39527.05
214244.40000000002,232.97,4.58,7.0,4.0,56143.79,45084.04
268287.6,200.14,4.89,6.0,3.0,59513.83,44162.28
347952.6,203.36,5.99,6.0,3.0,78379.41,31357.39
358795.80000000005,249.31,6.77,7.0,5.0,70877.38,36033.43
414429.30000000005,308.31,6.59,9.0,6.0,61526.97,27307.95
460467.0,234.89,7.41,7.0,2.0,65317.0,55799.5
448237.5,217.34,6.94,6.0,3.0,76268.82,38649.85
406843.80000000005,288.42,6.86,9.0,5.0,48531.36,39731.15
436482.89999999997,205.92,5.9,6.0,4.0,82906.65,38820.48
232235.40000000002,202.0,4.94,6.0,2.0,63117.84,43091.85
266733.9,176.55,3.69,5.0,3.0,75860.86,41003.88
363330.6,240.41,4.86,7.0,3.0,68844.76,48392.5
197593.80000000002,255.79,5.69,7.0,3.0,52446.27,32934.55
420031.5,267.08,5.8,8.0,3.0,69342.71,37082.37
378605.4,213.51,7.22,6.0,4.0,55932.05,42488.31
165923.09999999998,218.74,4.63,6.0,2.0,53306.92,39063.34
360974.4,250.68,6.06,7.0,3.0,56976.55,46375.5
334596.9,267.85,6.16,8.0,6.0,51296.49,32078.91
390564.30000000005,245.6,7.6,7.0,5.0,63995.0,24748.27
302006.1,198.54,6.28,6.0,4.0,71915.15,27714.29
224814.90000000002,249.96,5.44,7.0,5.0,62137.6,19045.62
322679.1,221.61,5.23,6.0,4.0,78050.97,27789.75
221961.30000000002,231.65,5.33,7.0,4.0,67371.42,24797.76
432883.5,272.99,7.48,8.0,3.0,59362.77,44723.35
248549.09999999998,223.59,7.01,6.0,3.0,57003.11,29594.69
411987.30000000005,269.29,6.08,8.0,6.0,68989.31,32629.6
277669.80000000005,224.79,4.9,6.0,3.0,70969.9,24833.65
465761.10000000003,262.0,7.74,8.0,6.0,82251.65,18408.8
400771.5,233.55,5.77,7.0,2.0,71306.46,43284.4
288242.4,224.16,5.67,6.0,3.0,70921.57,29390.22
421779.89999999997,247.9,6.71,7.0,6.0,70739.46,35148.67
185726.40000000002,217.22,6.39,6.0,3.0,58097.84,19903.0
398781.89999999997,239.55,7.03,7.0,2.0,51273.51,53811.89
378553.19999999995,180.99,5.02,5.0,3.0,76326.59,42779.83
352734.30000000005,213.78,5.83,6.0,4.0,63584.05,46340.19
431116.19999999995,218.4,4.93,6.0,3.0,86340.29,35630.56
478324.5,278.82,5.87,8.0,6.0,79471.24,36616.17
279407.4,194.01,6.41,5.0,2.0,55879.5,37360.06
239592.0,229.89,6.88,7.0,3.0,40503.54,45979.48
435522.0,210.05,5.6,6.0,2.0,83394.41,30487.52
383697.6,251.71,6.0,7.0,5.0,64501.23,43869.31
265776.30000000005,252.66,6.28,7.0,4.0,59569.54,31294.65
427689.89999999997,240.61,6.86,7.0,4.0,69280.32,40290.91
270564.6,241.37,5.86,7.0,3.0,66342.49,11792.82
456519.30000000005,304.54,6.17,9.0,5.0,73367.05,23684.79
215031.30000000002,210.79,5.71,6.0,2.0,57122.22,41972.77
509015.10000000003,286.04,7.91,8.0,5.0,61978.85,56957.19
245879.40000000002,238.45,6.64,7.0,2.0,54299.97,39512.66
475264.19999999995,288.58,5.6,9.0,3.0,71424.41,37242.56
239667.90000000002,203.26,8.08,6.0,4.0,57353.15,16906.42
180591.90000000002,301.18,4.19,9.0,5.0,44731.11,39633.47
436945.80000000005,318.65,4.52,10.0,4.0,76175.49,30760.99
510721.80000000005,238.23,5.55,7.0,2.0,66574.71,69575.45
469941.30000000005,271.22,5.18,8.0,6.0,91731.15,33102.1
477663.0,265.01,6.45,8.0,4.0,75487.03,41105.39
281288.4,206.6,6.02,6.0,4.0,58088.44,51925.41
467564.39999999997,221.72,6.87,6.0,3.0,76319.22,48026.31
346898.69999999995,241.84,5.91,7.0,2.0,60575.16,32158.97
454305.0,267.89,7.08,8.0,3.0,69607.13,34609.04
311732.1,247.81,5.22,7.0,5.0,67056.84,25134.68
242727.0,193.55,5.17,5.0,2.0,60640.93,43119.54
202660.80000000002,197.95,5.78,6.0,3.0,69031.91,15660.4
412077.0,324.21,4.66,10.0,5.0,80356.21,16215.42
507027.30000000005,279.04,6.77,8.0,4.0,60081.18,60195.75
376011.0,246.32,6.52,7.0,5.0,61881.48,35597.37
232222.19999999998,204.98,6.89,6.0,2.0,59590.97,24153.88
522588.0,264.49,5.2,8.0,6.0,89831.32,45335.36
511728.89999999997,237.75,7.42,7.0,2.0,72175.28,50305.8
321333.0,214.73,6.21,6.0,2.0,67589.05,33203.38
335414.4,241.0,5.26,7.0,4.0,77300.03,29499.04
349575.9,262.35,5.4,8.0,6.0,65382.89,41723.05
384273.0,235.88,6.15,7.0,2.0,71145.21,35642.53
252336.90000000002,203.51,5.79,6.0,2.0,61053.04,40675.77
368643.30000000005,244.63,5.93,7.0,4.0,65125.95,37642.79
325821.6,274.43,6.21,8.0,5.0,51949.3,35336.06
361311.6,235.95,5.32,7.0,3.0,75897.99,34162.67
403501.19999999995,223.74,6.16,6.0,3.0,71468.35,43269.03
335070.6,247.77,5.76,7.0,3.0,53287.99,45152.01
246729.59999999998,243.36,5.13,7.0,3.0,61503.04,37650.87
408187.19999999995,283.85,6.39,8.0,4.0,68896.05,28394.61
689513.7,254.12,6.54,7.0,3.0,91159.42,54861.09
420149.39999999997,269.41,6.67,8.0,3.0,63375.35,45633.19
170054.7,213.88,5.45,6.0,2.0,59695.57,20702.8
410275.80000000005,259.16,5.57,8.0,5.0,63183.89,58691.2
334012.19999999995,245.55,7.0,7.0,5.0,61177.81,26396.29
216592.5,221.16,5.21,6.0,3.0,58642.31,35131.58
205651.19999999998,222.66,5.14,6.0,4.0,53112.28,40367.38
45621.600000000006,261.41,4.9,8.0,5.0,40366.62,16349.37
384129.6,242.99,7.3,7.0,5.0,62207.48,34317.54
170610.90000000002,249.12,5.41,7.0,6.0,57477.95,23649.97
360229.5,300.89,6.28,9.0,6.0,55630.49,38943.1
482148.60000000003,259.47,6.74,8.0,6.0,72399.31,41662.0
426514.5,249.94,4.5,7.0,5.0,89868.89,30101.72
93333.29999999999,181.53,4.21,5.0,2.0,59801.49,33534.93
401413.19999999995,257.09,7.84,7.0,4.0,61957.15,38448.49
425361.30000000005,217.98,6.69,6.0,3.0,71123.43,44020.14
238916.69999999998,280.67,4.38,8.0,3.0,55202.71,28424.95
393062.1,193.01,7.19,5.0,3.0,79298.12,15753.27
298469.4,200.29,7.14,6.0,4.0,65070.57,24852.57
360896.4,250.86,7.23,7.0,5.0,68494.98,13998.57
230625.59999999998,202.36,5.55,6.0,3.0,55702.21,40087.8
363496.5,214.0,7.89,6.0,2.0,57233.61,37374.92
462125.39999999997,231.91,6.03,7.0,4.0,85313.89,23974.44
213668.40000000002,195.77,4.68,5.0,3.0,60224.65,42182.86
457659.89999999997,231.83,6.79,7.0,3.0,73873.82,33336.33
310265.4,198.47,7.16,6.0,2.0,63149.49,37578.85
262231.19999999995,222.91,4.66,6.0,2.0,58593.79,39287.53
573847.5,281.12,6.45,8.0,4.0,73839.87,47602.51
526431.3,269.53,6.73,8.0,4.0,75984.83,42248.69
402020.10000000003,239.19,6.54,7.0,4.0,82145.37,25736.1
434027.10000000003,206.41,5.78,6.0,3.0,69017.18,55830.75
477830.39999999997,260.01,6.82,8.0,5.0,75429.18,36769.25
198109.5,262.13,4.12,8.0,6.0,69513.54,14054.05
258396.59999999998,222.88,5.16,6.0,2.0,57782.42,33426.85
494474.10000000003,278.44,6.56,8.0,6.0,74372.14,34321.96
293140.80000000005,241.47,5.54,7.0,2.0,63522.12,31995.53
477580.19999999995,305.51,7.65,9.0,3.0,61193.71,33196.06
208615.80000000002,199.83,4.31,6.0,4.0,60316.79,33831.89
170693.09999999998,177.12,5.41,5.0,2.0,58469.91,33547.98
280677.30000000005,248.95,4.6,7.0,5.0,75179.9,23978.09
295293.6,301.72,3.99,9.0,5.0,56186.96,41855.65
538873.8,238.96,5.93,7.0,2.0,73225.07,61830.54
216024.0,188.51,5.08,5.0,4.0,74338.93,18057.17
235142.40000000002,207.12,5.64,6.0,4.0,52188.12,42495.75
479584.80000000005,281.83,6.69,8.0,3.0,83311.1,30386.37
469237.5,272.3,6.6,8.0,5.0,72288.68,39146.92
278844.30000000005,251.46,6.99,7.0,3.0,54866.22,35192.84
424348.5,301.87,4.79,9.0,6.0,85759.66,25897.76
251300.40000000002,257.38,6.29,7.0,6.0,59453.34,29697.64
359254.5,220.38,7.22,6.0,4.0,69878.77,26814.17
369601.5,244.66,6.73,7.0,4.0,59243.3,51405.35
385779.9,252.4,6.5,7.0,4.0,57853.33,47688.23
408456.60000000003,263.84,6.39,8.0,4.0,66643.31,30971.16
327247.80000000005,202.48,5.96,6.0,2.0,69248.3,35990.1
442596.0,256.32,6.29,7.0,3.0,75129.72,41620.29
319997.69999999995,196.83,7.01,5.0,4.0,76210.0,22721.65
335229.9,273.44,6.07,8.0,3.0,69342.38,21641.97
426085.19999999995,237.79,6.81,7.0,2.0,77630.96,31739.89
252081.90000000002,239.66,7.59,7.0,3.0,68929.16,172.61
307472.4,172.46,6.01,5.0,2.0,70990.8,30904.25
448272.30000000005,303.64,7.75,9.0,5.0,55860.68,40335.22
337764.0,232.43,5.71,7.0,4.0,56380.99,43994.24
324736.5,269.29,4.81,8.0,4.0,64306.34,30762.36
466390.5,242.15,6.5,7.0,3.0,76547.96,40564.64
303409.5,262.41,5.49,8.0,6.0,57101.72,41104.47
429827.10000000003,253.03,7.3,7.0,6.0,76192.66,21245.84
483815.39999999997,285.82,5.78,8.0,4.0,79585.55,31773.34
291990.0,197.7,6.37,5.0,4.0,70759.86,25981.83
203768.69999999998,226.78,5.21,6.0,4.0,76907.24,21658.41
381300.0,286.93,5.9,8.0,6.0,64744.94,28880.02
273063.30000000005,254.17,5.35,7.0,4.0,51976.02,36360.17
307881.6,248.65,5.19,7.0,4.0,61252.64,40890.27
449019.0,240.39,7.75,7.0,4.0,58841.14,39555.07
447161.69999999995,268.45,6.36,8.0,5.0,79112.64,33771.74
447551.39999999997,280.26,6.48,8.0,5.0,76056.29,28470.7
299031.30000000005,302.03,6.8,9.0,3.0,52399.65,18092.13
319456.19999999995,173.27,5.54,5.0,2.0,77551.63,35834.49
295725.0,228.95,5.68,7.0,4.0,64160.82,32339.01
585786.6000000001,316.17,7.33,9.0,4.0,71167.03,35174.87
526490.7,219.12,7.07,6.0,3.0,84963.66,40447.01
336672.0,242.29,5.74,7.0,3.0,59712.82,42601.84
371079.6,211.94,5.62,6.0,3.0,77733.73,32074.58
289825.19999999995,223.41,4.37,6.0,4.0,85707.08,10424.42
255680.69999999998,183.29,4.73,5.0,4.0,70280.36,39662.74
384201.0,220.48,7.32,6.0,2.0,69330.74,30097.84
357064.19999999995,205.35,5.96,6.0,3.0,72988.71,50566.64
337155.30000000005,251.36,5.73,7.0,4.0,65697.82,28742.13
506736.0,267.68,7.96,8.0,3.0,76245.22,32016.23
472004.39999999997,283.21,7.17,8.0,3.0,53546.87,45504.2
509093.39999999997,283.01,6.77,8.0,3.0,73643.06,43152.14
424286.10000000003,196.42,7.02,5.0,2.0,84774.45,32383.56
226587.59999999998,232.38,5.06,7.0,2.0,58140.94,49337.53
214411.80000000002,214.35,6.29,6.0,2.0,61881.16,21397.45
283200.6,232.92,5.36,7.0,4.0,75312.26,9487.92
456940.80000000005,240.17,6.48,7.0,3.0,81328.81,31231.54
426875.10000000003,232.33,6.5,7.0,3.0,77931.48,23182.6
583685.7,243.15,7.1,7.0,6.0,84602.6,39683.44
518015.69999999995,228.18,5.49,7.0,2.0,72445.03,69553.99
315337.19999999995,258.64,6.67,8.0,5.0,57497.13,43204.16
674736.8999999999,249.93,8.25,7.0,5.0,87266.34,45161.19
457174.5,290.89,6.8,9.0,4.0,62431.94,44115.98
311855.4,242.36,4.54,7.0,3.0,72107.43,29981.35
245417.40000000002,247.78,6.53,7.0,3.0,55577.07,19560.01
334640.1,251.46,5.23,7.0,4.0,62327.89,43364.43
377453.69999999995,242.34,5.66,7.0,2.0,73931.14,29568.96
430627.19999999995,286.13,6.36,8.0,3.0,63429.27,37999.0
346041.0,207.23,5.98,6.0,3.0,73423.9,34711.78
427680.89999999997,188.82,8.56,5.0,2.0,75175.87,22367.48
314505.30000000005,268.8,6.26,8.0,4.0,56636.25,28139.37
364344.6,222.92,6.47,6.0,3.0,67665.94,24758.49
246557.69999999998,238.73,4.53,7.0,2.0,65986.82,24056.6
226095.59999999998,236.87,5.55,7.0,4.0,54273.91,24233.06
366000.30000000005,252.88,3.99,7.0,6.0,75547.84,40043.1
322702.5,264.1,6.72,8.0,5.0,70151.09,15255.24
418824.60000000003,254.68,6.22,7.0,3.0,74449.12,24837.59
341340.6,252.52,7.83,7.0,6.0,66919.64,18867.78
347986.19999999995,219.87,5.75,6.0,2.0,68473.86,43146.98
446355.0,264.99,6.38,8.0,5.0,76113.22,26481.51
330921.6,199.04,6.41,6.0,4.0,61212.2,32045.56
269187.30000000005,255.68,5.81,7.0,3.0,59768.81,26202.63
364296.30000000005,243.72,5.57,7.0,3.0,78847.54,20653.9
409308.89999999997,274.87,5.76,8.0,5.0,75735.34,37268.27
374727.9,251.38,5.24,7.0,3.0,77847.35,30231.81
283943.69999999995,183.35,5.46,5.0,2.0,56231.16,52657.03
497941.5,213.22,4.69,6.0,2.0,89163.5,44016.15
385620.0,249.45,6.29,7.0,4.0,62377.06,39075.96
269484.6,181.92,6.0,5.0,4.0,68864.28,29802.32
445154.39999999997,244.03,6.29,7.0,5.0,82440.9,27545.53
406046.39999999997,219.65,7.16,6.0,2.0,60948.88,39754.39
380611.19999999995,250.15,6.17,7.0,5.0,69729.61,31719.74
434572.19999999995,252.81,6.3,7.0,6.0,75491.8,26013.68
403081.80000000005,209.36,6.36,6.0,3.0,80648.07,35091.96
453461.39999999997,205.12,7.73,6.0,4.0,84036.6,32766.6
498611.69999999995,263.65,5.94,8.0,3.0,76590.38,40643.08
350001.9,273.43,6.47,8.0,3.0,63534.46,38128.98
412689.89999999997,257.09,6.33,7.0,6.0,67270.0,41780.47
251891.40000000002,244.81,4.46,7.0,4.0,50887.44,47731.01
491479.5,262.74,6.44,8.0,3.0,80597.11,34487.57
415620.0,279.48,6.49,8.0,5.0,66041.12,40163.97
345969.9,249.03,4.13,7.0,3.0,81316.38,35589.59
411053.39999999997,271.67,5.32,8.0,5.0,67877.03,43300.95
354563.1,241.07,5.56,7.0,2.0,69306.96,36851.38
268275.30000000005,219.94,5.3,6.0,4.0,61200.73,42789.69
426340.80000000005,270.97,5.89,8.0,5.0,70619.17,37865.65
308689.19999999995,201.82,5.9,6.0,4.0,69910.85,38440.74
277052.4,262.56,3.73,8.0,3.0,64889.22,25904.98
479890.19999999995,283.9,6.33,8.0,6.0,69900.13,32679.19
410755.80000000005,279.0,5.54,8.0,5.0,79045.04,24721.96
524634.8999999999,231.8,7.03,7.0,4.0,76460.22,46851.04
345263.4,282.16,6.38,8.0,4.0,58307.73,25509.07
333179.69999999995,302.04,5.1,9.0,5.0,56679.02,40785.03
347762.1,247.95,5.71,7.0,4.0,58823.05,38682.57
543413.1000000001,255.56,5.77,7.0,3.0,80836.34,49864.47
380232.9,287.38,5.85,8.0,4.0,67710.11,25222.46
405764.39999999997,193.73,7.34,5.0,3.0,70027.65,40512.82
179851.2,197.82,5.78,5.0,2.0,36100.44,44901.86
215163.90000000002,220.85,4.62,6.0,4.0,67217.49,23999.76
302613.9,207.22,6.42,6.0,3.0,63657.28,36391.93
321478.80000000005,197.61,5.48,5.0,3.0,71468.27,36377.84
419202.60000000003,230.91,6.55,7.0,4.0,62989.51,36913.35
393991.5,246.2,6.16,7.0,6.0,69327.26,31054.78
631953.3,285.61,6.37,8.0,3.0,94902.24,41662.08
391937.69999999995,246.25,4.83,7.0,3.0,79579.2,31756.41
406478.69999999995,225.05,5.25,6.0,3.0,73756.12,59485.07
474829.80000000005,289.78,7.31,9.0,4.0,65873.94,39785.63
254146.5,226.82,6.03,6.0,3.0,52934.44,46520.69
402673.80000000005,246.65,5.93,7.0,4.0,82830.59,32026.91
408926.10000000003,263.34,5.28,8.0,4.0,73930.84,42702.4
382595.69999999995,243.96,5.3,7.0,6.0,58557.13,54167.34
385777.19999999995,246.18,7.51,7.0,3.0,51718.35,49639.17
